"id","title","authors","year","n_citation","fos"
"1000153461","user recognition and preference of app icon stylization design on the smartphone","chun-ching chen:2108643440","2015","3","computer science:0.4215369;multimedia:0.445924371;human–computer interaction:0.456318527;icon design:0.7048048;android (operating system):0.520925164;rendering (computer graphics):0.472022831;phone:0.444242567;icon:0.542251348;graphical user interface:0.5323975;border shape:0.460693926"
"100026819","sketchline interactions for d image visualization and analysis","tim mcinerney:2153179717;y. s. shih:2111759766","2012","0","visualization:0.5337111;computer vision:0.459436923;computer science:0.379834533;artificial intelligence:0.0;pattern recognition:0.4158088;biological data visualization:0.6215204;interaction model:0.4853231;control point:0.515132964;sketch:0.446598858;region of interest:0.5682599;line segment:0.4649088;spline (mathematics):0.426798135"
"100088670","frequencybased environment matting of transparent objects using kaczmarz method","i-cheng chang:2629048666;tian-lin yang:2701616811;chung-lin huang:2717600033","2010","0","computer science:0.3631182;iterative method:0.437345654;compositing:0.470345438;scaling:0.4484907;image processing:0.545473158;kaczmarz method:0.640143454;computer vision:0.449405968;real image:0.499400735;image quality:0.5034796;computer graphics:0.474474221;artificial intelligence:0.0"
"100101452","automatic rice classification under uniform specification using flatbed scanner and image processing","h. k. sardana:2651580518;h. n. bhargaw:2715423748;sheetu sachdeva:2405964869;deepak varshney:2708645463","2007","0","digital image processing:0.723602057;automatic image annotation:0.7433086;computer science:0.39575544;image processing:0.7378921;scanner:0.4101458;computer graphics (images):0.4294813;computer vision:0.475319266;standard test image:0.6864598;artificial intelligence:0.0"
"1001936542","an efficient synthesizing and tonemapping system for high dynamic range images","tianle zhao:2307750758;yi xu:2672794054","2012","0","high dynamic range:0.5849306;tone mapping:0.629358232;dynamic range:0.504249454;display device:0.479448318;iterative reconstruction:0.492801219;motion compensation:0.505012453;physical property:0.5601726;computer vision:0.47642076;image registration:0.529581249;computer graphics (images):0.417464972;computer science:0.3779552;artificial intelligence:0.0"
"1003800352","a development of art robot system for representation of brightness of image","sangwook kim:2277579594;myeongjin song:2124641608;paul kim:2161814080;geunjoo lee:2161818633;nyamsuren ganbold:332616452;jiamei tang:2114272670","2013","1","robotic arm:0.4070621;image processing:0.519655049;robot:0.3765491;computer vision:0.463655651;brightness:0.654532135;computer graphics (images):0.417772174;computer science:0.368615746;artificial intelligence:0.0"
"100503367","realtime terrain visualization on pc","jan vanek:2005189865;bruno jezek:2000569173","2004","2","artificial intelligence:0.0;visualization:0.635062456;computer graphics (images):0.4485347;computer vision:0.462538838;terrain:0.523197532;computer science:0.39765057;terrain rendering:0.7592271"
"1006402450","d fused visualization based on particlesbased rendering with opacity using volume texture","kyoko hasegawa:2777341447;kozaburo hachimura:345550328;s. tanaka:2682788779","2013","0","polygon:0.5023596;particle:0.448919833;engineering:0.283200949;visualization:0.4980659;3d rendering:0.5881348;volume rendering:0.589254558;rendering (computer graphics):0.60407275;computer vision:0.4355681;opacity:0.481727;artificial intelligence:0.0;sorting:0.524072"
"100666251","mtcut gpubased marching tetra cuts","eva monclús:2157438762;isabel navazo:112454783;pere-pau vázquez:2150335851","2007","3","computer vision:0.4263884;software rendering:0.5383003;volume rendering:0.564523339;marching tetrahedra:0.6835225;real-time computer graphics:0.5595518;rendering (computer graphics):0.5467534;isosurface:0.636063159;theoretical computer science:0.416704357;artificial intelligence:0.0;marching cubes:0.635207653;computer science:0.3764923;polygon mesh:0.519448459"
"100704419","keynote  a language and extensible graphics editor for music","tim thompson:2719421585","1990","3","computer graphics (images):0.453132838;computer science:0.458022177;extensibility:0.426207185;programming language:0.4541079;graphics software:0.6783952"
